filename,width,height,class,xmin,ymin,xmax,ymax
IMG_5481_JPG.rf.88f589187d6553d198d3c714bb4fd667.jpg,1974,1316,plate,517,356,1313,827
IMG_5481_JPG.rf.88f589187d6553d198d3c714bb4fd667.jpg,1974,1316,motor,344,0,1774,1303
IMG_5471_JPG.rf.8ae4898ac54df8fbee5c4df602abcbec.jpg,1984,1322,plate,606,314,1462,823
IMG_5471_JPG.rf.8ae4898ac54df8fbee5c4df602abcbec.jpg,1984,1322,motor,478,0,1614,1285
IMG_5402_JPG.rf.8a0be2d47a96132200fc5c492c771482.jpg,2006,1336,plate,246,547,675,778
IMG_5402_JPG.rf.8a0be2d47a96132200fc5c492c771482.jpg,2006,1336,plate,1333,829,1839,1113
IMG_5402_JPG.rf.8a0be2d47a96132200fc5c492c771482.jpg,2006,1336,motor,39,198,883,1335
IMG_5402_JPG.rf.8a0be2d47a96132200fc5c492c771482.jpg,2006,1336,motor,1061,457,1996,1335
IMG_5463_JPG.rf.8dbb620cb11c3f7cfdbece421f8bdaa7.jpg,1942,1294,plate,559,276,1399,886
IMG_5463_JPG.rf.8dbb620cb11c3f7cfdbece421f8bdaa7.jpg,1942,1294,motor,415,0,1580,1264
IMG_5363_JPG.rf.93519ae5dd9ca50f9efc514b7a01dce5.jpg,2026,1350,motor,362,0,1688,1342
IMG_5363_JPG.rf.93519ae5dd9ca50f9efc514b7a01dce5.jpg,2026,1350,plate,668,611,1352,1052
IMG_5343_JPG.rf.93735fcf8ffa6c7d7c3718eed51d2a6e.jpg,2048,1364,plate,1403,645,1916,885
IMG_5343_JPG.rf.93735fcf8ffa6c7d7c3718eed51d2a6e.jpg,2048,1364,plate,130,566,679,867
IMG_5343_JPG.rf.93735fcf8ffa6c7d7c3718eed51d2a6e.jpg,2048,1364,motor,18,175,815,1355
IMG_5343_JPG.rf.93735fcf8ffa6c7d7c3718eed51d2a6e.jpg,2048,1364,motor,1051,335,2010,1364
IMG_5390_JPG.rf.940cb273367c7004b538e6ebff8dbcf5.jpg,1864,1242,plate,675,416,1299,743
IMG_5390_JPG.rf.940cb273367c7004b538e6ebff8dbcf5.jpg,1864,1242,motor,1541,0,1863,1125
IMG_5390_JPG.rf.940cb273367c7004b538e6ebff8dbcf5.jpg,1864,1242,motor,415,56,1435,1210
IMG_5332_JPG.rf.918ef235182c920ae70bfb96cd3584f7.jpg,1876,1250,motor,322,0,1577,1238
IMG_5332_JPG.rf.918ef235182c920ae70bfb96cd3584f7.jpg,1876,1250,plate,527,399,1318,743
IMG_5404_JPG.rf.8921153562aa1ad7acc06b8381a987e4.jpg,1974,1316,plate,625,542,1312,896
IMG_5404_JPG.rf.8921153562aa1ad7acc06b8381a987e4.jpg,1974,1316,motor,327,69,1391,1315
IMG_5410_JPG.rf.8af27f04d9a57ecb02edeb959ee306a6.jpg,2036,1358,plate,606,464,1380,929
IMG_5410_JPG.rf.8af27f04d9a57ecb02edeb959ee306a6.jpg,2036,1358,motor,318,5,1725,1357
IMG_5358_JPG.rf.8fb878d6cfc4ff217b53632cb7025eb1.jpg,1910,1272,plate,1233,433,1697,637
IMG_5358_JPG.rf.8fb878d6cfc4ff217b53632cb7025eb1.jpg,1910,1272,motor,807,171,1842,1257
